node1	node2
TIGD1	WNK2
TMEM266	JUNB
MTMR14	EIF5AL1
IRF1	JUNB
MYZAP	ADRA2A
MELTF	FNDC10
TMEM158	B3GNT3
RPS6KA5	ADRA2A
ETFBKMT	FNDC10
PRR7	FNDC10
WNK2	TMEM158
CFAP70	JUNB
TIGD1	HMGA1
HMGA1	TMEM158
NFE2L1	ADRA2A
SLC25A22	FNDC10
NRARP	RIT1
MELTF	TMEM158
TIGD1	WEE1
FCHO1	FNDC10
EVA1A	TMEM158
PRR7	TMEM158
TIGD1	MCOLN1
FAM71E1	FNDC10
HMGA1	FNDC10
ZMYND19	FNDC10
TMEM158	CEP104
EVA1A	FNDC10
RPS6KA5	TIGD1
RNF11	TIGD1
PDE4B	TIGD1
TIGD1	REPS1
QSOX1	FNDC10
ID3	JUNB
SNRNP27	FNDC10
IQCB1	TIGD1
CKMT1A	FNDC10
TIGD1	SHANK2
NRARP	HIC1
TIGD1	SNX10
NRARP	EDN1
TMEM158	CDCA5
NRARP	RHOU
ADRA2A	HMGA1
TMCC3	ADRA2A
NRARP	ID3
QPCTL	FNDC10
PTPN12	FNDC10
XPNPEP1	TMEM158
FUT3	FNDC10
EIF5AL1	NUP214
SERINC1	FNDC10
TIGD1	CKMT1A
ABRACL	FNDC10
ACBD7	TMEM158
TBC1D22B	TMEM158
PGAM1	ADRA2A
NRARP	ID1
RAPGEF2	FNDC10
TIGD1	RFC5
C11orf96	JUNB
DSP	TIGD1
TIGD1	CTNNB1
C1orf210	TIGD1
TMEM158	LTF
TIGD1	OSTM1
C1QTNF1	ADRA2A
OSTM1	FNDC10
ATP9A	FNDC10
EIF5AL1	FKBP3
DEPP1	ADRA2A
EIF5AL1	YIF1B
OSTM1	ADRA2A
SELE	JUNB
LMNB1	TMEM158
TRIP13	TMEM158
TMEM158	LDHB
MOSMO	FNDC10
LMNB1	FNDC10
FNDC10	PIK3R2
SFT2D2	TMEM158
C1QTNF1	TIGD1
RNF168	FNDC10
RNF180	FNDC10
ADRA2A	CUX1
TIGD1	CUX1
TIGD1	KCNN2
TIGD1	LTF
ATP9A	TMEM158
NRARP	NR4A1
ADRA2A	CDCA7
EFNA4	FNDC10
